annotation_id,case_id,split,is_hero,scene_major,scene_minor,chat_rows,order_rows,ticket_rows,image_path_category,ticket_type,ticket_status,ticket_id,order_verified,issue_explained,evidence_submitted,evidence_status,scope_consistency,covered,missing,promise_count,promise_classes,primary_promise_text,primary_promise_deadline,consumer_intent,service_cause,latent_need,cooperation_willingness,creates_obligation,obligation_type,current_milestone,prohibited_actions,recommended_candidate,candidate_type_contract,reference_action,decision,rule_id,rule_priority,expected_case_status,consumer_input_required,expected_next_check_at,confidence,review_status,open_questions
ANN_DEV_11,S00015,DEV_REGRESSION,false,不良反应,过敏就医,聊天记录!A103:R111,订单!A12:S12,不良反应工单!A10:S10,,ADVERSE_REACTION,已完结,BLFY61738711,true,true,false,NEED_HUMAN_REVIEW,UNDETERMINED,,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL,3,APPROVAL_REQUIRED/PENDING_APPROVAL;STANDARD_APPROVED/ACTIVE;CONDITIONAL/PENDING_APPROVAL,收到资料，已为您建立不良反应专项工单并升级处理。方案：①商品全额退款；②凭医疗票据报销本次门诊费用；③专员24小时内电话回访跟进恢复情况。您看可以吗？,,获得赔偿与治疗方案确认,使用后出现就医级不良反应，消费者对品牌是否担责缺乏信任,品牌快速给出可执行的处置方案，而不是要求反复举证,LOW,true,ADVERSE_REACTION_HANDOFF,,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION,HUMAN_ADVERSE_REACTION_HANDOFF,HUMAN_EVIDENCE_REVIEW,ASK_EVIDENCE,HUMAN_REVIEW,H1,200,ACTION_REVIEW,false,2026-05-06T16:38:49+08:00,HIGH,FIRST_PASS,
ANN_DEV_12,S00010,DEV_REGRESSION,false,不良反应,泛红刺痒,聊天记录!A66:R75,订单!A11:S11,不良反应工单!A5:S5,,ADVERSE_REACTION,待处理,BLFY49330652,true,true,false,NEED_HUMAN_REVIEW,UNDETERMINED,,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL,2,STANDARD_APPROVED/ACTIVE;CONDITIONAL/PENDING_APPROVAL,这边已为您登记不良反应记录单，专员会在24小时内回访跟进哦~,2026-05-06T14:34:29+08:00,弄清皮肤反应原因并决定是否继续使用该产品,使用后出现泛红刺痒，消费者对产品适肤性产生怀疑，但缺少可视证据,得到明确的安全指引与后续处理承诺，而不是被反复追问信息,STABLE,true,ADVERSE_REACTION_HANDOFF,,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION,HUMAN_ADVERSE_REACTION_HANDOFF,HUMAN_EVIDENCE_REVIEW,ASK_EVIDENCE,HUMAN_REVIEW,H1,200,ACTION_REVIEW,false,2026-05-06T14:34:29+08:00,HIGH,FIRST_PASS,
ANN_DEV_13,S00098,DEV_REGRESSION,false,不良反应,闷痘爆痘,聊天记录!A694:R702,订单!A65:S65,不良反应工单!A9:S9,,ADVERSE_REACTION,已完结,BLFY50417006,true,true,false,NEED_HUMAN_REVIEW,UNDETERMINED,,PRODUCT_IDENTITY;AFFECTED_COMPONENT;DAMAGE_DETAIL,3,APPROVAL_REQUIRED/PENDING_APPROVAL;CONDITIONAL/PENDING_APPROVAL;STANDARD_APPROVED/ACTIVE,收到，已登记不良反应记录。停用后无新增说明大概率是产品不适配您的肤质~剩余商品支持退货退款，这就为您发起，运费我们承担哦~,,确认是否因产品致痘，并决定退货,使用后出现闷痘，消费者将因果归因于产品，但缺少客观证据,得到关于产品是否适合自己的明确说明，以及简单的退货路径,STABLE,true,ADVERSE_REACTION_HANDOFF,,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION,HUMAN_ADVERSE_REACTION_HANDOFF,HUMAN_EVIDENCE_REVIEW,ASK_EVIDENCE,HUMAN_REVIEW,H1,200,ACTION_REVIEW,false,2026-05-10T11:10:31+08:00,MEDIUM,FIRST_PASS,客服在会话中给出了「大概率是产品不适配」的推断性结论，属于模型与规则都不应输出的因果判断，建议复审时确认是否列入错误案例。
ANN_DEV_14,S00024,DEV_REGRESSION,false,售后退货,仅退款疑似异常,聊天记录!A167:R173,订单!A52:S52,售后退货工单!A2:S2,,RETURN,处理中,KOC3195289,true,true,false,NEED_HUMAN_REVIEW,UNDETERMINED,,PACKAGE_CONTEXT;PRODUCT_IDENTITY;AFFECTED_COMPONENT,2,AMBIGUOUS/IGNORED;CONDITIONAL/PENDING_APPROVAL,理解您的心情亲~按流程空包裹需要核实出库称重记录和物流揽收重量，这边已提交核实工单，有结果第一时间联系您，请您配合提供下照片哦~,,不退货直接拿到全额退款,消费者主张空包裹，但风控流程要求先核实重量与出库记录，双方对事实存在争议,被信任并快速处理，而不是被要求反复举证,LOW,true,RETURN_HANDLING,,ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,VERIFY_EMPTY_PARCEL_CLAIM,HUMAN_EVIDENCE_REVIEW,ASK_EVIDENCE,HUMAN_REVIEW,H1,200,ACTION_REVIEW,false,2026-05-06T21:42:59+08:00,HIGH,FIRST_PASS,
ANN_DEV_15,S00026,DEV_REGRESSION,false,售后退货,七天无理由退货,聊天记录!A182:R190,订单!A42:S42,售后退货工单!A13:S13,,RETURN,处理中,KOC2683305,true,true,false,VALID,IN_SCOPE,,,3,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,"可以的亲，未拆封支持七天无理由退货哦~您在订单页申请退货退款，选""不想要了""，系统通过后把退货单号填进去就行~",,退回不想要的商品并拿回货款,无服务失误；消费者主动改变购买意愿，需要明确流程与费用归属,清楚知道怎么退、运费谁出、多久到账,STABLE,true,RETURN_HANDLING,,ASK_SAME_EVIDENCE;CLOSE_BEFORE_RESOLUTION,RETURN_FLOW_GUIDANCE,ASK_CURRENT_SCOPE_EVIDENCE,CHECK_REPLACEMENT_PROGRESS,ALLOW,E0_NO_RULE_MATCHED,0,READY_FOR_BRAND,false,2026-05-08T14:24:35+08:00,HIGH,FIRST_PASS,
ANN_DEV_16,S00132,DEV_REGRESSION,false,售后退货,色号不合适退货,聊天记录!A775:R781,订单!A103:S103,售后退货工单!A14:S14,swatch,RETURN,已完结,KOC2089946,true,true,true,MISMATCHED,OUT_OF_SCOPE,PRODUCT_IDENTITY,AFFECTED_COMPONENT;DAMAGE_DETAIL,3,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,可以的亲~轻微试色支持退换哦。建议直接申请退货退款，寄回后重新拍#05枫叶红，这样最快；运费这边给您报销哦~,,把不合适的色号退掉并换成适合的颜色,色号不适配，消费者需要退换与运费报销,换货流程简单、运费有人承担、不再被要求额外举证,STABLE,true,RETURN_HANDLING,IN_TRANSIT,ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,RETURN_FLOW_GUIDANCE,ASK_CURRENT_SCOPE_EVIDENCE,ASK_EVIDENCE,ALLOW,E2,100,IN_FULFILLMENT,false,2026-05-11T09:08:54+08:00,MEDIUM,FIRST_PASS,E2 规则原文列举的变化项为「订单、商品货号、正装/赠品、问题组件或证据类型」，本案例落在「证据类型」一项；复审时需确认 B 线是否实现了证据类型维度的比对。
ANN_DEV_17,S00034,DEV_REGRESSION,false,订单服务,直播间承诺纠纷,聊天记录!A240:R246,订单!A84:S84,补发换货工单!A24:S24,live_promise,REPLACEMENT,已完结,BH758933100232,true,true,true,VALID,IN_SCOPE,PRODUCT_IDENTITY,,2,STANDARD_APPROVED/ACTIVE;AMBIGUOUS/IGNORED,亲亲收到您的截图啦~核实到昨晚直播确有该福利，是发货时赠品未关联上，实在抱歉！这边给您登记补发测试舒缓面霜中样15ml，48小时内发出哦哈~,2026-05-08T14:32:47+08:00,拿到直播承诺的赠品,直播承诺未随订单履约，消费者需要用截图自证，信任受损,品牌承认承诺并主动补发，不需要消费者反复举证,DECLINING,true,REPLACEMENT_FULFILLMENT,IN_TRANSIT,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-07T14:32:47+08:00,MEDIUM,FIRST_PASS,本案例的问题类型是「直播承诺赠品未履约」，但 CaseInput.current_issue.issue_type 的枚举只有 PACKAGE_DAMAGE / LOGISTICS_STALLED / ADVERSE_REACTION，无法直接表达该类问题。本批按 PACKAGE_DAMAGE 归入（履约类问题），建议作为契约适配问题提交产品负责人确认。
ANN_DEV_18,S00007,DEV_REGRESSION,false,补发换货,漏发赠品,聊天记录!A44:R49,订单!A26:S26,补发换货工单!A6:S6,,REPLACEMENT,已完结,BH142092289687,true,true,false,NEED_HUMAN_REVIEW,UNDETERMINED,PRODUCT_IDENTITY,,2,STANDARD_APPROVED/ACTIVE;ERRONEOUS_OR_UNAUTHORIZED/BLOCKED,已为您创建补发工单，48小时内发出，发货后单号同步给您，这次仓库会重点核对的，请您放心哦~,2026-05-07T12:45:57+08:00,拿到下单页面承诺的赠品,赠品未随包裹发出，且系统赠品记录与消费者认知不一致,品牌确认赠品归属并主动补发，不需要消费者自证,STABLE,false,,,ASK_SAME_EVIDENCE;CLOSE_BEFORE_RESOLUTION,HUMAN_EVIDENCE_REVIEW,HUMAN_EVIDENCE_REVIEW,ASK_EVIDENCE,HUMAN_REVIEW,H1,200,ACTION_REVIEW,false,,MEDIUM,FIRST_PASS,本案例是本批唯一出现 ERRONEOUS_OR_UNAUTHORIZED 分类的案例，起因是赛事 Mock 数据本身的赠品列与话术不一致（见 01-数据字段确认.md 6.2）。复审时需确认该分类的使用是否符合产品口径，或应改用独立的事实冲突标记。
ANN_DEV_19,S00115,DEV_REGRESSION,false,补发换货,会员权益加赠补发,聊天记录!A758:R764,订单!A22:S22,补发换货工单!A20:S20,,REPLACEMENT,进行中,BH562082745370,true,true,false,VALID,IN_SCOPE,PRODUCT_IDENTITY,,2,STANDARD_APPROVED/ACTIVE;STANDARD_APPROVED/ACTIVE,亲亲，核实到您符合会员加赠条件，是系统没有自动关联赠品订单，抱歉啦！这边走权益加赠补发流程，给您单独补寄测试B5面膜体验装2片~,,拿到会员权益承诺的加赠礼,系统未自动关联会员加赠，权益未随订单履约,品牌承认权益并主动补寄，不需要消费者反复说明,STABLE,true,REPLACEMENT_FULFILLMENT,AWAITING_CARRIER_PICKUP,ASK_SAME_EVIDENCE;ASK_REPEAT_EXPLANATION;CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_FULFILLMENT,ASK_EVIDENCE,INTERVENE,E1,300,IN_FULFILLMENT,false,2026-05-10T22:23:28+08:00,MEDIUM,FIRST_PASS,本案例与 S00007 同为「聊天提到的赠品不在订单赠品列」，但一个合法、一个冲突，区分依据是工单事实与售后原因。建议复审时确认该判别口径已写入 B 线的导入实现。
ANN_DEV_20,S00016,DEV_REGRESSION,false,订单服务,退款进度查询,聊天记录!A112:R115,订单!A17:S17,,,NO_TICKET,,,true,true,false,VALID,IN_SCOPE,,,1,STANDARD_APPROVED/ACTIVE,亲亲，查到您的退款5.05元已于昨日原路退回，银行卡支付一般1-3个工作日到账，请您留意银行到账短信哦~,2026-05-08T16:47:43+08:00,确认退款是否已经到账,银行渠道到账延迟导致消费者产生不确定感，需要人工确认一次,有人直接告诉他款项状态，而不是让他自己去查,STABLE,false,,,CLOSE_BEFORE_RESOLUTION,CHECK_REPLACEMENT_PROGRESS,CHECK_REPLACEMENT_FULFILLMENT,CHECK_REPLACEMENT_PROGRESS,ALLOW,E0_NO_RULE_MATCHED,0,READY_FOR_BRAND,false,,HIGH,FIRST_PASS,
